case_number
00424070B3
00448892B3
00448929B5
00459203B3
00459354B0
00468829B4
00469090B6
00469132B6
00469199B3
00469278B5
00469342B6
00469407B1
00469418B5
00469478B2
00469493B3
00469512B1
00469533B1
00469570B3
00469574B0
00476661B3
00476749B0
00477149B1
00477249B3
00477476B6
00489903B1
00490240B2
00495033B0
00495055B1
00495105B2
00496752B4
00499842B0
00499867B4
00500041B3
00500051B6
00500083B3
00500115B0
00500134B5
00501380B5
00507236B2
00859815B5
0B00012915
0B00018627
0B00018851
0B00018914
0B00027307
0B00032718
0B00043582
0B00043722
0B00044338
0B00047600
0B00053802
0B00057064
0B00065933
0B00068761
0B00073528
0B00073836
0B00073850
0B00074067
0B00074459
0B00075124
0B00075390
0B00075481
0B00084868
0B00085155
0B00085169
0B00094143
0B00094241
0B00094339
0B00094395
0B00094990
0B00095683
0B00095893
0B00098294
0B00107289
0B00114793
0B00120519
0B00120568
0B00121114
0B00121254
0B00121261
0B00125300
0B00129633
0B00129794
0B00131761
0B00139307
0B00139727
0B00141547
0B00142086
0B00143493
0B00151557
0B00152222
0B00153902
0B00156660
0B00156898
0B00157353
0B00161798
0B00162414
0B00163100
0B00164696
0B00168889
0B00171829
0B00180040
0B00180460
0B00182406
0B00182560
0B00184079
0B00188573
0B00188881
0B00194313
0B00195888
0B00196385
0B00200781
0B00201838
0B00202076
0B00202139
0B00202531
0B00202825
0B00204988
0B00205646
0B00209433
0B00213507
0B00214088
0B00215838
0B00216489
0B00220920
0B00221151
0B00221179
0B00221760
0B00224924
0B00225890
0B00229124
0B00232421
0B00235599
0B00235823
0B00236411
0B00237867
0B00240184
0B00241101
0B00241269
0B00243369
0B00243929
0B00245252
0B00253085
0B00254919
0B00260183
0B00272258
0B00279461
0B00298627
0B00299866
0B00301238
0B00302785
0B00302967
0B00305242
0B00314349
0B00318780
0B00322056
0B00332787
0B00334810
0B00339416
0B00344855
0B00347088
0B00348187
0B00356237
0B00358435
0B00371280
0B00371770
0B00372309
0B00378959
0B00379946
0B00380401
0B00381171
0B00383649
0B00390719
0B00394072
0B00395668
0B00395962
0B00396564
0B00408912
0B00412405
0B00413966
0B01275092
0B01281630
0B01281707
0B01284451
0B01290954
0B01294307
0B01304555
0B01304765
0B01317645
0B01318345
0B01332016
0B01340528
0B01348067
0B01360744
0B01366925
0B01374436
0B01375276
0B01382997
0B01384187
0B01384978
0B01386560
0B01392888
0B01395912
0B01398999
0B01410458
0B01413888
0B01415120
0B01416919
0B01417787
0B01418858
0B01425844
0B01429148
0B01429862
0B01432592
0B01436491
0B01442007
0B01442035
0B01442644
0B01443568
0B01444114
0B01444772
0B01447348
0B01448146
0B01448601
0B01452633
0B01452654
0B01453011
0B01455671
0B01458051
0B01461768
0B01462909
0B01463273
0B01464043
0B01466290
0B01473402
0B01482159
0B01482411
0B01488410
0B01490020
0B01491504
0B01491735
0B01492750
0B01497083
0B01498714
0B01501066
0B01501815
0B01505231
0B01507814
0B01507975
0B01508822
0B01508934
0B01509242
0B01509921
0B01511559
0B01515038
0B01515066
0B01515290
0B01517509
0B01517516
0B01518419
0B01519609
0B01522311
0B01522570
0B01523158
0B01523543
0B01523746
0B01523809
0B01527113
0B01527232
0B01529388
0B01529465
0B01529493
0B01529738
0B01530620
0B01530900
0B01531607
0B01532139
0B01532356
0B01537872
0B01539118
0B01540266
0B01540770
0B01541379
0B01541442
0B01541659
0B01541932
0B01541939
0B01542009
0B01543318
0B01544018
0B01544284
0B01544774
0B01545929
0B01546748
0B01547770
0B01548372
0B01548386
0B01548995
0B01549135
0B01549317
0B01549345
0B01549751
0B01550108
0B01550178
0B01550374
0B01551046
0B01551494
0B01551781
0B01555610
0B01555673
0B01555694
0B01555862
0B01556450
0B01556513
0B01556597
0B01556891
0B01557150
0B01557969
0B01561497
0B01563233
0B01564227
0B01564346
0B01565711
0B01565928
0B01566040
0B01567678
0B01567958
0B01568364
0B01568469
0B01569372
0B01569750
0B01569995
0B01570051
0B01572186
0B01572837
0B01574783
0B01575616
0B01575749
0B01575854
0B01575987
0B01576484
0B01576918
0B01583533
0B01584009
0B01584247
0B01584457
0B01585997
0B01586291
0B01586592
0B01586809
0B01587166
0B01587264
0B01590666
0B01591807
0B01594579
0B01595678
0B01596693
0B01597141
0B01597442
0B01597771
0B01598086
0B01598163
0B01598387
0B01599920
0B01599934
0B01601460
0B01602076
0B01603553
0B01603770
0B01604876
0B01606472
0B01607984
0B01608180
0B01609489
0B01616937
0B01617392
0B01619135
0B01620136
0B01620346
0B01620374
0B01620969
0B01623587
0B01624084
0B01624126
0B01625764
0B01628872
0B01629292
0B01629502
0B01629712
0B01633716
0B01634122
0B01634164
0B01636971
0B01637132
0B01637244
0B01637832
